title,studio,domestic_gross,foreign_gross,year
the perks of being a wallflower (2012),lg/s,17700000.0,15600000.0,2012
haywire (2012),rela.,18900000.0,14400000.0,2012
katy perry: part of me (2012),par.,25300000.0,7400000.0,2012
lockout (2012),fd,14300000.0,17900000.0,2012
joyful noise (2012),wb,30900000.0,226000.0,2012
premium rush (2012),sony,20300000.0,10800000.0,2012
the raven (2012),rela.,16000000.0,13600000.0,2012
rowdy rathore (2012),utv,777000.0,28600000.0,2012
dragon (2012) (2012),rtwc,11100.0,29100000.0,2012
bol bachchan (2012),fip,1200000.0,27600000.0,2012
the master (2012),wein.,16399999.0,11900000.0,2012
rust and bone (2012),spc,2100000.0,23700000.0,2012
big miracle (2012),uni.,20200000.0,4600000.0,2012
sparkle (2012) (2012),tris,24400000.0,240000.0,2012
to the arctic (imax) (2012),wb,14600000.0,9100000.0,2012
hitchcock (2012),foxs,6000000.0,17600000.0,2012
a thousand words (2012),p/dw,18500000.0,3600000.0,2012
wanderlust (2012),uni.,17500000.0,4200000.0,2012
beasts of the southern wild (2012),foxs,12800000.0,8300000.0,2012
polisse (2012),ifc,211000.0,20200000.0,2012
amour (2012),spc,6700000.0,13100000.0,2012
the man with the iron fists (2012),uni.,15600000.0,4099999.0,2012
seven psychopaths (2012),cbs,15000000.0,4400000.0,2012
gone (2012),lg/s,11700000.0,6400000.0,2012
norwegian wood (2012),rf,13000.0,17600000.0,2012
the cold light of day (2012),lg/s,3800000.0,13100000.0,2012
my way (2012) (2012),cj,70200.0,16500000.0,2012
tomorrow when the war began (2012),free,4900.0,16500000.0,2012
we have a pope (2012),ifc,548000.0,15600000.0,2012
headhunters (2012),magn.,1200000.0,14500000.0,2012
hit and run (2012),orf,13700000.0,704000.0,2012
war of the buttons (2012) (2012),wein.,47800.0,13800000.0,2012
red lights (2012) (2012),mne,52600.0,13500000.0,2012
the words (2012),cbs,11500000.0,1700000.0,2012
playing for keeps (2012),fd,13100000.0,19400000.0,2012
silent house (2012),orf,12800000.0,347000.0,2012
friends with kids (2012),ratt.,7300000.0,5800000.0,2012
the well-digger's daughter (2012),kl,386000.0,12200000.0,2012
klown (2012),drft.,68800.0,12400000.0,2012
people like us (2012),bv,12400000.0,19400000.0,2012
seeking justice (2012),anch.,412000.0,11900000.0,2012
bachelorette (2012),rtwc,448000.0,11500000.0,2012
this must be the place (2012),wein.,144000.0,11600000.0,2012
fun size (2012),par.,9400000.0,2000000.0,2012
rec 3: genesis (2012),magn.,9600.0,10100000.0,2012
delicacy (2012),cohen,499000.0,9200000.0,2012
seeking a friend for the end of the world (2012),focus,7100000.0,2600000.0,2012
the apparition (2012),wb,4900000.0,4700000.0,2012
for greater glory (2012),arcent,5700000.0,4000000.0,2012
hysteria (2012),spc,1800000.0,7700000.0,2012
bernie (2012),mne,9200000.0,19400000.0,2012
the sessions (2012),foxs,6000000.0,3100000.0,2012
ruby sparks (2012),foxs,2500000.0,6600000.0,2012
hyde park on hudson (2012),focus,6400000.0,2500000.0,2012
on the road (2012),ifc,744000.0,8000000.0,2012
boy (2012) (2012),paluni,256000.0,8400000.0,2012
piranha 3dd (2012),w/dim.,377000.0,8100000.0,2012
easy money (2012) (2012),wein.,206000.0,8199999.0,2012
space dogs 3d (2012),epicpics,14400.0,8300000.0,2012
bel ami (2012),magn.,120000.0,8199999.0,2012
promised land (2012) (2012),focus,7600000.0,541000.0,2012
iron sky (2012),eone,122000.0,8000000.0,2012
casa de mi padre (2012),lgf,5900000.0,2100000.0,2012
heroine (2012),utv,599000.0,7400000.0,2012
a royal affair (2012),magn.,1500000.0,6000000.0,2012
all together (2012),kl,43200.0,7200000.0,2012
my worst nightmare (2012),strand,22000.0,7100000.0,2012
the collection (2012),ld,6800000.0,19400000.0,2012
monsieur lazhar (u.s.-only) (2012),mbox,2000000.0,4600000.0,2012
goon (2012),magn.,4200000.0,2300000.0,2012
cosmopolis (2012),eone,764000.0,5300000.0,2012
chasing mavericks (2012),fox,6000000.0,600.0,2012
declaration of war (2012),ifc,59100.0,5800000.0,2012
puella magi madoka magica the movie (2012),elev.,180000.0,5600000.0,2012
albert nobbs (2012),ratt.,3000000.0,2600000.0,2012
in darkness (2012),spc,1000000.0,4500000.0,2012
won't back down (2012),fox,5300000.0,19400000.0,2012
farewell my queen (2012),cohen,1600000.0,3700000.0,2012
girl in progress (2012),lgf,2600000.0,2000000.0,2012
"jeff, who lives at home (2012)",parv,4300000.0,148000.0,2012
barbara (2012),af,1000000.0,3100000.0,2012
the raid: redemption (2012),spc,4099999.0,19400000.0,2012
safety not guaranteed (2012),fd,4000000.0,19400000.0,2012
nitro circus the movie 3d (2012),arcent,3400000.0,526000.0,2012
the lady (2012),cohen,355000.0,3400000.0,2012
branded (2012),ratt.,354000.0,3400000.0,2012
the rabbi's cat (2012),gk,23400.0,3700000.0,2012
searching for sugar man (2012),spc,3700000.0,19400000.0,2012
killer joe (2012),ld,2000000.0,1700000.0,2012
hara-kiri: death of a samurai (2012),trib.,75700.0,3400000.0,2012
robot & frank (2012),gold.,3300000.0,19400000.0,2012
raiders of the lost ark (imax) (2012),par.,3100000.0,19400000.0,2012
celeste and jesse forever (2012),spc,3100000.0,19400000.0,2012
jab tak hai jaan (2012),yash,3000000.0,19400000.0,2012
intruders (2012),mne,69100.0,2900000.0,2012
talaash (2012),relbig.,2900000.0,19400000.0,2012
barfi! (2012),utv,2800000.0,19400000.0,2012
a simple life (2012),cl,192000.0,2600000.0,2012
samsara (2012),osci.,2700000.0,19400000.0,2012
simon and the oaks (2012),tfa,151000.0,2400000.0,2012
jiro dreams of sushi (2012),magn.,2600000.0,19400000.0,2012
dabangg 2 (2012),eros,2500000.0,19400000.0,2012
kid with a bike (2012),ifc,1500000.0,1000000.0,2012
the queen of versailles (2012),magn.,2400000.0,19400000.0,2012
ek tha tiger (2012),yash,2300000.0,19400000.0,2012
chico & rita (2012),gk,351000.0,1900000.0,2012
stolen (2012) (2012),mne,304000.0,1800000.0,2012
footnote (2012),spc,2000000.0,19400000.0,2012
the imposter (2012),im,898000.0,1100000.0,2012
agneepath (2012),eros,2000000.0,19400000.0,2012
the day i saw your heart (2012),fm,3500.0,2000000.0,2012
english vinglish (2012),eros,1900000.0,19400000.0,2012
housefull 2 (2012),eros,1800000.0,19400000.0,2012
tales of the night (2012),gk,11000.0,1700000.0,2012
beloved (2012) (2012),ifc,138000.0,1500000.0,2012
360 (2012),magn.,100000.0,1600000.0,2012
2 days in new york (2012),magn.,633000.0,1000000.0,2012
your sister's sister (2012),ifc,1600000.0,19400000.0,2012
hermano (2012),mbox,29900.0,1600000.0,2012
lay the favorite (2012),rtwc,21000.0,1600000.0,2012
soldiers of fortune (2012),ratt.,38900.0,1500000.0,2012
a late quartet (2012),eone,1600000.0,19400000.0,2012
i wish (2012),magn.,146000.0,1400000.0,2012
the salt of life (2012),zeit.,317000.0,1200000.0,2012
chicken with plums (2012),spc,254000.0,1200000.0,2012
marley (2012),magn.,1400000.0,19400000.0,2012
the paperboy (2012),mne,693000.0,661000.0,2012
chasing ice (2012),sd,1300000.0,19400000.0,2012
unforgivable (2012),strand,154000.0,1200000.0,2012
a little bit of heaven (2012),mne,15400.0,1300000.0,2012
the other son (2012),cohen,1300000.0,19400000.0,2012
meerkats (2012),nge,778000.0,482000.0,2012
"for a good time, call... (2012)",focus,1300000.0,19400000.0,2012
take this waltz (2012),magn.,1200000.0,19400000.0,2012
cocktail (2012) (2012),eros,1200000.0,19400000.0,2012
once upon a time in anatolia (2012),cgld,152000.0,1000000.0,2012
ek main aur ekk tu (2012),utv,1200000.0,19400000.0,2012
the deep blue sea (2012),mbox,1100000.0,19400000.0,2012
coriolanus (2012),wein.,757000.0,315000.0,2012
diana vreeland: the eye has to travel (2012),gold.,1000000.0,19400000.0,2012
first position (2012),ifc,1000000.0,19400000.0,2012
damsels in distress (2012),spc,1000000.0,19400000.0,2012
rampart (2012),mne,973000.0,19400000.0,2012
elles (2012),kl,158000.0,754000.0,2012
w.e. (2012),wein.,583000.0,285000.0,2012
breathing (2012),kl,4600.0,803000.0,2012
darling companion (2012),spc,794000.0,19400000.0,2012
teri meri kahaani (2012),eros,781000.0,19400000.0,2012
son of sardaar (2012),eros,772000.0,19400000.0,2012
agent vinod (2012),eros,698000.0,19400000.0,2012
student of the year (2012),eros,670000.0,19400000.0,2012
the polar express (2012 re-issue) (2012),wb,669000.0,19400000.0,2012
holy motors (2012),im,641000.0,19400000.0,2012
free men (2012),fm,53800.0,564000.0,2012
"peace, love and misunderstanding (2012)",ifc,591000.0,19400000.0,2012
undefeated (2012) (2012),wein.,562000.0,19400000.0,2012
sister (2012) (2012),af,155000.0,400000.0,2012
vicky donor (2012),eros,549000.0,19400000.0,2012
being flynn (2012),focus,540000.0,19400000.0,2012
ai weiwei: never sorry (2012),ifc,534000.0,19400000.0,2012
where do we go now? (2012),spc,532000.0,19400000.0,2012
bully (2012) (2012),wein.,279000.0,182000.0,2012
ferrari ki sawaari (2012),eros,434000.0,19400000.0,2012
apartment 143 (2012),magn.,400.0,426000.0,2012
sound of my voice (2012),foxs,408000.0,19400000.0,2012
khiladi 786 (2012),eros,379000.0,19400000.0,2012
smashed (2012),spc,377000.0,19400000.0,2012
universal soldier: day of reckoning (2012),magn.,5500.0,364000.0,2012
the oranges (2012),ato,366000.0,19400000.0,2012
liberal arts (2012),ifc,327000.0,19400000.0,2012
compliance (2012),magn.,319000.0,19400000.0,2012
back to 1942 (2012),cl,313000.0,19400000.0,2012
the flowers of war (2012),whe,311000.0,19400000.0,2012
something from nothing: the art of rap (2012),im,288000.0,19400000.0,2012
love in the buff (2012),cl,256000.0,19400000.0,2012
lola versus (2012),foxs,253000.0,19400000.0,2012
keep the lights on (2012),mbox,246000.0,19400000.0,2012
gerhard richter painting (2012),kl,243000.0,19400000.0,2012
trishna (2012),ifc,240000.0,19400000.0,2012
elena (2012),zeit.,233000.0,19400000.0,2012
tezz (2012),eros,230000.0,19400000.0,2012
the viral factor (2012),cl,220000.0,19400000.0,2012
neil young journeys (2012),spc,215000.0,19400000.0,2012
tai chi zero (2012),vari.,212000.0,19400000.0,2012
the house i live in (2012),abr.,211000.0,19400000.0,2012
10 years (2012),anch.,203000.0,19400000.0,2012
17 girls (2012),strand,15100.0,186000.0,2012
tim & eric's billion dollar movie (2012),magn.,201000.0,19400000.0,2012
any day now (2012),mbox,201000.0,19400000.0,2012
tere naal love ho gaya (2012),utv,178000.0,19400000.0,2012
the hunter (2012) (2012),magn.,177000.0,19400000.0,2012
butter (2012),rtwc,105000.0,70700.0,2012
kill list (2012),ifc,29100.0,143000.0,2012
flying swords of dragon gate (2012),im,170000.0,19400000.0,2012
joker (2012),utv,169000.0,19400000.0,2012
dark horse (2012),bm&dh,166000.0,19400000.0,2012
shirin farhad ki toh nikal padi (2012),eros,156000.0,19400000.0,2012
bullhead (2012),drft.,152000.0,19400000.0,2012
chakravyuh (2012),eros,152000.0,19400000.0,2012
luv shuv tey chicken khurana (2012),utv,144000.0,19400000.0,2012
high school (2012),anch.,139000.0,19400000.0,2012
warriors of the rainbow: seediq bale (2012),wgusa,136000.0,19400000.0,2012
the loneliest planet (2012),ifc,130000.0,19400000.0,2012
forgiveness of blood (2012),ifc,127000.0,19400000.0,2012
toys in the attic (2012),hann.,64900.0,61600.0,2012
"turn me on, dammit! (2012)",nyer,126000.0,19400000.0,2012
god bless america (2012),magn.,123000.0,19400000.0,2012
bullet vanishes (2012),cl,118000.0,19400000.0,2012
the woman in the fifth (2012),ato,114000.0,19400000.0,2012
5 broken cameras (2012),kl,110000.0,19400000.0,2012
hello i must be going (2012),osci.,107000.0,19400000.0,2012
the magic of belle isle (2012),magn.,102000.0,19400000.0,2012
"oslo, august 31st (2012)",strand,101000.0,19400000.0,2012
wuthering heights (2012) (2012),osci.,101000.0,19400000.0,2012
mugamoodi (2012),utv,101000.0,19400000.0,2012
v/h/s (2012),magn.,100000.0,19400000.0,2012
goodbye first love (2012),ifc,95000.0,19400000.0,2012
marina abramovic: the artist is present (2012),mbox,86600.0,19400000.0,2012
the eye of the storm (2012),seg,83600.0,19400000.0,2012
wagner & me (2012),frun,37700.0,41000.0,2012
the innkeepers (2012),magn.,78400.0,19400000.0,2012
this is not a film (2012),palt,77000.0,19400000.0,2012
the island president (2012),gold.,76400.0,19400000.0,2012
detachment (2012),trib.,72700.0,19400000.0,2012
attenberg (2012),strand,24000.0,45900.0,2012
deadfall (2012) (2012),magn.,66400.0,19400000.0,2012
girlfriend boyfriend - gf bf (2012),cl,64400.0,19400000.0,2012
vulgaria (2012),cl,59100.0,19400000.0,2012
the turin horse (2012),cgld,56400.0,19400000.0,2012
jodi breakers (2012),yash,52600.0,19400000.0,2012
painted skin: the resurrection (2012),wgusa,50400.0,19400000.0,2012
"all's well, end's well (2012) (2012)",cl,47900.0,19400000.0,2012
north sea texas (2012),strand,28300.0,16700.0,2012
double trouble (2012),cl,44800.0,19400000.0,2012
the fairy (2012),kl,38400.0,19400000.0,2012
hit so hard (2012),vari.,34000.0,19400000.0,2012
kalakalappu@masala cafe (2012),utv,30900.0,19400000.0,2012
the bay (2012),ratt.,30700.0,19400000.0,2012
you've been trumped (2012),icir,29300.0,19400000.0,2012
here (2012) (2012),strand,26700.0,19400000.0,2012
in another country (2012),kl,25100.0,19400000.0,2012
the first time (2012),gold.,22800.0,19400000.0,2012
bonsai (2012),strand,21300.0,19400000.0,2012
the day (2012),anch.,21000.0,19400000.0,2012
28 hotel rooms (2012),osci.,18900.0,19400000.0,2012
lovely molly (2012),imag.,18500.0,19400000.0,2012
juan of the dead (2012),outs,18000.0,19400000.0,2012
4:44: last day on earth (2012),ifc,17800.0,19400000.0,2012
little birds (2012),mne,17700.0,19400000.0,2012
return (2012) (2012),da.,16100.0,19400000.0,2012
alps (2012),kl,16100.0,19400000.0,2012
patience (after sebald) (2012),cgld,15900.0,19400000.0,2012
take me home (2012),mont.,15800.0,19400000.0,2012
reuniting the rubins (2012),mont.,13600.0,19400000.0,2012
cirkus columbia (2012),strand,3500.0,9500.0,2012
grassroots (2012),gold.,12400.0,19400000.0,2012
husbands in goa (2012),utv,10100.0,19400000.0,2012
starry starry night (2012),cl,10000.0,19400000.0,2012
corpo celeste (2012),fm,8900.0,19400000.0,2012
dreams of a life (2012),strand,8400.0,19400000.0,2012
the babymakers (2012),mne,7900.0,19400000.0,2012
las acacias (2012),outf,6000.0,19400000.0,2012
the good doctor (2012),magn.,5200.0,19400000.0,2012
liar's autobiography (2012),bsm,5100.0,19400000.0,2012
sleepless night (2012),trib.,3400.0,19400000.0,2012
atm (2012),ifc,3000.0,19400000.0,2012
about cherry (2012),ifc,3000.0,19400000.0,2012
perfect sense (2012),ifc,3000.0,19400000.0,2012
cheerful weather for the wedding (2012),ifc,2700.0,19400000.0,2012
the decoy bride (2012),ifc,800.0,19400000.0,2012
death of a superhero (2012),trib.,600.0,19400000.0,2012
frozen (2013),bv,400700000.0,875700000.0,2013
iron man 3 (2013),bv,409000000.0,805800000.0,2013
despicable me 2 (2013),uni.,368100000.0,602700000.0,2013
the hobbit: the desolation of smaug (2013),wb (nl),258399999.0,700000000.0,2013
the hunger games: catching fire (2013),lgf,424700000.0,440300000.0,2013
fast & furious 6 (2013),uni.,238700000.0,550000000.0,2013
monsters university (2013),bv,268500000.0,475700000.0,2013
gravity (2013),wb,274100000.0,449100000.0,2013
man of steel (2013),wb,291000000.0,377000000.0,2013
thor: the dark world (2013),bv,206400000.0,438200000.0,2013
the croods (2013),fox,187200000.0,400000000.0,2013
world war z (2013),par.,202400000.0,337600000.0,2013
oz the great and powerful (2013),bv,234900000.0,258399999.0,2013
star trek into darkness (2013),par.,228800000.0,238600000.0,2013
the wolverine (2013),fox,132600000.0,282300000.0,2013
pacific rim (2013),wb,101800000.0,309200000.0,2013
the wolf of wall street (2013),par.,116900000.0,275100000.0,2013
g.i. joe: retaliation (2013),par.,122500000.0,253200000.0,2013
the hangover part iii (2013),wb,112200000.0,249800000.0,2013
the great gatsby (2013) (2013),wb,144800000.0,208800000.0,2013
now you see me (2013),lg/s,117700000.0,234000000.0,2013
the smurfs 2 (2013),sony,71000000.0,276500000.0,2013
the conjuring (2013),wb (nl),137400000.0,182100000.0,2013
a good day to die hard (2013),fox,67300000.0,237300000.0,2013
oblivion (2013),uni.,89100000.0,197100000.0,2013
elysium (2013),tris,93100000.0,193100000.0,2013
turbo (2013),fox,83000000.0,199500000.0,2013
cloudy with a chance of meatballs 2 (2013),sony,119800000.0,154500000.0,2013
we're the millers (2013),wb (nl),150400000.0,119600000.0,2013
epic (2013),fox,107500000.0,160900000.0,2013
the lone ranger (2013),bv,89300000.0,171200000.0,2013
american hustle (2013),sony,150100000.0,101100000.0,2013
grown ups 2 (2013),sony,133699999.0,113300000.0,2013
after earth (2013),sony,60500000.0,183300000.0,2013
planes (2013),bv,90300000.0,149000000.0,2013
the heat (2013),fox,159600000.0,70300000.0,2013
hansel and gretel: witch hunters (2013),par.,55700000.0,170600000.0,2013
captain phillips (2013),sony,107100000.0,111700000.0,2013
white house down (2013),sony,73100000.0,132300000.0,2013
percy jackson: sea of monsters (2013),fox,68600000.0,131300000.0,2013
lost in thailand (2013),wamcr,57400.0,197700000.0,2013
jack the giant slayer (2013),wb (nl),65200000.0,132500000.0,2013
the secret life of walter mitty (2013),fox,58200000.0,129900000.0,2013
12 years a slave (2013),foxs,56700000.0,131100000.0,2013
lee daniels' the butler (2013),wein.,116600000.0,60000000.0,2013
identity thief (2013),uni.,134500000.0,39500000.0,2013
anchorman 2: the legend continues (2013),par.,125200000.0,46300000.0,2013
olympus has fallen (2013),fd,98900000.0,71300000.0,2013
insidious chapter 2 (2013),fd,83600000.0,78300000.0,2013
lone survivor (2013),uni.,125100000.0,29700000.0,2013
jackass presents: bad grandpa (2013),par.,102000000.0,49800000.0,2013
47 ronin (2013),uni.,38400000.0,113400000.0,2013
red 2 (2013),lg/s,53300000.0,94800000.0,2013
mama (2013),uni.,71600000.0,74800000.0,2013
escape plan (2013),lg/s,25100000.0,112200000.0,2013
last vegas (2013),cbs,63900000.0,70500000.0,2013
2 guns (2013),uni.,75600000.0,56300000.0,2013
walking with dinosaurs (2013),fox,36100000.0,90500000.0,2013
this is the end (2013),sony,101500000.0,24600000.0,2013
ender's game (2013),lg/s,61700000.0,63800000.0,2013
prisoners (2013),wb,61000000.0,61100000.0,2013
saving mr. banks (2013),bv,83300000.0,34600000.0,2013
warm bodies (2013),lg/s,66400000.0,50600000.0,2013
jurassic park 3d (2013),uni.,45400000.0,71100000.0,2013
personal tailor (2013),cl,376000.0,115800000.0,2013
free birds (2013),rela.,55800000.0,54600000.0,2013
gangster squad (2013),wb,46000000.0,59200000.0,2013
philomena (2013),wein.,37700000.0,62400000.0,2013
instructions not included (2013),lgf,44500000.0,54600000.0,2013
riddick (2013),uni.,42000000.0,56300000.0,2013
safe haven (2013),rela.,71300000.0,26200000.0,2013
evil dead (2013) (2013),tris,54200000.0,43300000.0,2013
blue jasmine (2013),spc,33400000.0,64099999.0,2013
the mortal instruments: city of bones (2013),sgem,31200000.0,64200000.0,2013
the internship (2013),fox,44700000.0,48800000.0,2013
rush (2013) (2013),uni.,26900000.0,63300000.0,2013
the purge (2013),uni.,64500000.0,24900000.0,2013
dhoom 3 (2013),yash,8000000.0,80000000.0,2013
about time (2013),uni.,15300000.0,71800000.0,2013
pain and gain (2013),par.,49900000.0,36300000.0,2013
carrie (2013) (2013),sgem,35300000.0,49500000.0,2013
the family (2013) (2013),rela.,36900000.0,41500000.0,2013
scary movie 5 (2013),w/dim.,32000000.0,46400000.0,2013
r.i.p.d. (2013),uni.,33600000.0,44700000.0,2013
tiny times (2013),cl,23500.0,77700000.0,2013
the book thief (2013),fox,21500000.0,55100000.0,2013
escape from planet earth (2013),wein.,57000000.0,17600000.0,2013
august: osage county (2013),wein.,37700000.0,36500000.0,2013
the best man holiday (2013),uni.,70500000.0,2300000.0,2013
young detective dee: rise of the sea dragon (2013),wamcr,87800.0,72200000.0,2013
the counselor (2013),fox,17000000.0,54000000.0,2013
the call (2013),tris,51900000.0,16700000.0,2013
one direction: this is us (2013),tris,28900000.0,39700000.0,2013
the grandmaster (2013),wein.,6600000.0,57500000.0,2013
side effects (2013) (2013),orf,32200000.0,31200000.0,2013
the host (2013) (2013),orf,26600000.0,36700000.0,2013
runner runner (2013),fox,19300000.0,43400000.0,2013
from up on poppy hill (2013),gk,1000000.0,60000000.0,2013
kick-ass 2 (2013),uni.,28800000.0,32000000.0,2013
a haunted house (2013),orf,40000000.0,20100000.0,2013
beautiful creatures (2013) (2013),wb,19500000.0,40600000.0,2013
quartet (2013),wein.,18400000.0,41100000.0,2013
dallas buyers club (2013),focus,27300000.0,27900000.0,2013
the face reader (2013),pm&e,516000.0,54100000.0,2013
tyler perry's a madea christmas (2013),lgf,52500000.0,853000.0,2013
tyler perry's temptation: confessions of a marriage counselor (2013),lgf,52000000.0,1200000.0,2013
delivery man (2013),bv,30700000.0,19300000.0,2013
the berlin file (2013),cj,665000.0,48300000.0,2013
the last stand (2013),lgf,12100000.0,36300000.0,2013
21 and over (2013),rela.,25700000.0,22400000.0,2013
her (2013) (2013),wb,25600000.0,21800000.0,2013
tiny times 2 (2013),cl,43800.0,47200000.0,2013
texas chainsaw 3d (2013),lgf,34300000.0,12900000.0,2013
the big wedding (2013),lgf,21800000.0,24700000.0,2013
parker (2013),fd,17600000.0,28600000.0,2013
the world's end (2013),focus,26000000.0,20100000.0,2013
grudge match (2013),wb,29800000.0,15100000.0,2013
homefront (2013),orf,20200000.0,22900000.0,2013
snitch (2013),lg/s,42900000.0,19400000.0,2013
jobs (2013),orf,16100000.0,19800000.0,2013
the place beyond the pines (2013),focus,21400000.0,14100000.0,2013
inside llewyn davis (2013),cbs,13200000.0,19700000.0,2013
mud (2013),ratt.,21600000.0,11000000.0,2013
movie 43 (2013),rela.,8800000.0,23600000.0,2013
kevin hart: let me explain (2013),lg/s,32200000.0,74000.0,2013
spring breakers (2013),a24,14100000.0,17600000.0,2013
new world (2013) (2013),wgusa,458000.0,31200000.0,2013
don jon (2013),rela.,24500000.0,6000000.0,2013
i give it a year (2013),magn.,34700.0,28200000.0,2013
nebraska (2013),par.,17700000.0,10000000.0,2013
the incredible burt wonderstone (2013),wb (nl),22500000.0,4900000.0,2013
mandela: long walk to freedom (2013),wein.,8300000.0,19000000.0,2013
khumba (2013),mne,1000.0,27200000.0,2013
dark skies (2013),w/dim.,17400000.0,9000000.0,2013
enough said (2013),foxs,17600000.0,7700000.0,2013
trance (2013),foxs,2300000.0,21900000.0,2013
"the way, way back (2013)",foxs,21500000.0,1700000.0,2013
kon-tiki (2013),wein.,1500000.0,21300000.0,2013
baggage claim (2013),foxs,21600000.0,887000.0,2013
diana (2013),eone,335000.0,21400000.0,2013
the great beauty (2013),jan.,2900000.0,18500000.0,2013
the sapphires (2013),wein.,2500000.0,18000000.0,2013
broken city (2013),fox,19700000.0,19400000.0,2013
the company you keep (2013),spc,5100000.0,14500000.0,2013
the bling ring (2013),a24,5800000.0,13300000.0,2013
you're next (2013),lgf,18500000.0,19400000.0,2013
dead man down (2013),fd,10900000.0,7200000.0,2013
admission (2013),focus,18000000.0,19400000.0,2013
fruitvale station (2013),wein.,16100000.0,1300000.0,2013
battle of the year (2013),sgem,8900000.0,7700000.0,2013
out of the furnace (2013),rela.,11300000.0,4300000.0,2013
billy and buddy (2013),distrib.,900.0,15200000.0,2013
the last exorcism part ii (2013),cbs,15200000.0,19400000.0,2013
machete kills (2013),orf,8000000.0,7000000.0,2013
journey to the south pacific (2013),imax,7600000.0,6500000.0,2013
paranoia (2013),rela.,7400000.0,6400000.0,2013
all is lost (2013),ratt.,6300000.0,7400000.0,2013
puella magi madoka magica the movie: rebellion (2013),elev.,376000.0,12600000.0,2013
stoker (2013),foxs,1700000.0,10400000.0,2013
in the house (2013),cohen,390000.0,11500000.0,2013
i'm so excited (2013),spc,1400000.0,10400000.0,2013
haute cuisine (2013),wein.,218000.0,11200000.0,2013
before midnight (2013),spc,8100000.0,3100000.0,2013
only god forgives (2013),rtwc,779000.0,9900000.0,2013
the past (2013),spc,1300000.0,9300000.0,2013
love is all you need (2013),spc,1600000.0,8400000.0,2013
bullet to the head (2013),wb,9500000.0,19400000.0,2013
tyler perry presents peeples (2013),lgf,9200000.0,130000.0,2013
jerusalem (2013),nge,8000000.0,1300000.0,2013
the fifth estate (2013),bv,3300000.0,5300000.0,2013
upside down (2013),mne,105000.0,8000000.0,2013
metallica through the never (2013),ph,3400000.0,4600000.0,2013
pulling strings (2013),lgf,5800000.0,2000000.0,2013
black nativity (2013),foxs,7000000.0,436000.0,2013
blue is the warmest color (2013),ifc,2200000.0,5200000.0,2013
unfinished song (2013),wein.,1700000.0,5300000.0,2013
the angels' share (2013),ifc,347000.0,6700000.0,2013
the spectacular now (2013),a24,6900000.0,19400000.0,2013
the sweeney (2013),eone,26700.0,6300000.0,2013
believe (2013),orf,6200000.0,19400000.0,2013
closed circuit (2013),focus,5800000.0,19400000.0,2013
populaire (2013),wein.,179000.0,5300000.0,2013
broken circle breakdown (2013),trib.,175000.0,5300000.0,2013
fists of legend (2013),cj,134000.0,5300000.0,2013
chennai express (2013),utv,5300000.0,19400000.0,2013
20 feet from stardom (2013),rtwc,4900000.0,19400000.0,2013
oldboy (2013) (2013),fd,2200000.0,2700000.0,2013
commitment (2013),wgusa,76500.0,4500000.0,2013
white elephant (2013),strand,8900.0,4400000.0,2013
much ado about nothing (2013) (2013),ratt.,4300000.0,19400000.0,2013
frances ha (2013),ifc,4099999.0,19400000.0,2013
you will be my son (2013),cohen,285000.0,3600000.0,2013
yeh jawaani hai deewani (2013),eros,3800000.0,19400000.0,2013
pieta (2013),drft.,22100.0,3600000.0,2013
mental (2013),da.,17700.0,3600000.0,2013
the to-do list (2013),cbs,3500000.0,74600.0,2013
mr. nobody (2013),magn.,3600.0,3500000.0,2013
emperor (2013),ratt.,3300000.0,19400000.0,2013
stand up guys (2013),lgf,3300000.0,19400000.0,2013
in a world (2013),ratt.,3000000.0,19400000.0,2013
ram-leela (2013),eros,2700000.0,19400000.0,2013
capital (2013),cohen,102000.0,2400000.0,2013
the east (2013),foxs,2300000.0,99700.0,2013
i'm in love with a church girl (2013),htr,2400000.0,19400000.0,2013
no (2013) (2013),spc,2300000.0,19400000.0,2013
renoir (2013),gold.,2300000.0,19400000.0,2013
the christmas candle (2013),els,2300000.0,19400000.0,2013
reality (2013) (2013),osci.,72600.0,2200000.0,2013
krrish 3 (2013),eros,2200000.0,19400000.0,2013
austenland (2013),spc,2200000.0,19400000.0,2013
the sorcerer and the white snake (2013),magn.,18800.0,2100000.0,2013
the iceman (2013) (2013),mne,2000000.0,19400000.0,2013
fill the void (2013),spc,1800000.0,19400000.0,2013
starbuck (u.s. only) (2013),e1,340000.0,1300000.0,2013
bhaag milkha bhaag (2013),relbig.,1600000.0,19400000.0,2013
therese (2013),mpi,102000.0,1500000.0,2013
stories we tell (2013),ratt.,1600000.0,19400000.0,2013
lovelace (2013),rtwc,357000.0,1200000.0,2013
race 2 (2013),utv,1600000.0,19400000.0,2013
disconnect (2013),ld,1400000.0,19400000.0,2013
girl most likely (2013),ratt.,1400000.0,19400000.0,2013
wadjda (u.s. only) (2013),spc,1300000.0,19400000.0,2013
the kings of summer (2013),cbs,1300000.0,19400000.0,2013
the invisible woman (2013),spc,1200000.0,19400000.0,2013
violeta went to heaven (2013),kl,21500.0,1200000.0,2013
romeo and juliet (2013) (2013),rela.,1200000.0,19400000.0,2013
still mine (2013),gold.,1200000.0,19400000.0,2013
the wall (2013) (2013),mbox,38700.0,1100000.0,2013
