title,studio,domestic_gross,foreign_gross,year
heartbreaker (2010),ifc,504000.0,46900000.0,2010
the spy next door (2010),lgf,24300000.0,20900000.0,2010
"the good, the bad, the weird (2010)",ifc,128000.0,44100000.0,2010
machete (2010),fox,26600000.0,17500000.0,2010
the girl who kicked the hornet's nest (2010),mbox,5200000.0,38300000.0,2010
the man from nowhere (2010),cj,528000.0,42500000.0,2010
when in rome (2010),bv,32700000.0,10400000.0,2010
my name is khan (2010),foxs,4000000.0,38300000.0,2010
going the distance (2010),wb (nl),17800000.0,24200000.0,2010
the concert (2010),wein.,658000.0,40500000.0,2010
agora (2010),nm,619000.0,38400000.0,2010
for colored girls (2010),lgf,37700000.0,17300.0,2010
brooklyn's finest (2010),over.,27200000.0,9300000.0,2010
furry vengeance (2010),sum.,17600000.0,18600000.0,2010
faster (2010),cbs,23200000.0,12400000.0,2010
the kids are all right (2010),focus,20800000.0,13900000.0,2010
you will meet a tall dark stranger (2010),spc,3200000.0,31000000.0,2010
the secret in their eyes (2010),spc,6400000.0,27600000.0,2010
avatar: special edition (2010),fox,10700000.0,22500000.0,2010
leap year (2010),uni.,25900000.0,6700000.0,2010
you again (2010),bv,25700000.0,6300000.0,2010
mesrine: killer instinct (2010),mbox,552000.0,30500000.0,2010
the losers (2010),wb,23600000.0,5800000.0,2010
case 39 (2010),parv,13300000.0,14900000.0,2010
ramona and beezus (2010),fox,26200000.0,1100000.0,2010
splice (2010),wb,17000000.0,9800000.0,2010
fair game (2010) (2010),sum.,9500000.0,14600000.0,2010
let me in (2010),over.,12100000.0,12000000.0,2010
mao's last dancer (2010),gold.,4800000.0,17500000.0,2010
just wright (2010),foxs,21500000.0,29900.0,2010
our family wedding (2010),foxs,20300000.0,1200000.0,2010
my soul to take (2010),uni.,14700000.0,6200000.0,2010
71 into the fire (2010),js,177000.0,20800000.0,2010
"i love you, phillip morris (2010)",ratt.,2000000.0,18700000.0,2010
country strong (2010),sgem,20200000.0,310000.0,2010
another year (2010),spc,3200000.0,16500000.0,2010
youth in revolt (2010),w/dim.,15300000.0,4400000.0,2010
buried (2010),lgf,1000000.0,18100000.0,2010
[rec] 2 (2010),magn.,27800.0,18500000.0,2010
repo men (2010),uni.,13800000.0,4600000.0,2010
a prophet (un prophète) (2010),spc,2100000.0,15800000.0,2010
soul kitchen (2010),ifc,277000.0,17600000.0,2010
mother (2010) (2010),magn.,552000.0,16600000.0,2010
micmacs (2010),spc,1300000.0,15100000.0,2010
the nutcracker in 3d (2010),free,195000.0,16000000.0,2010
sea rex 3d: journey to a prehistoric world (2010),3d,6100000.0,9900000.0,2010
i hate luv storys (2010),utv,848000.0,14900000.0,2010
extraordinary measures (2010),cbs,12100000.0,3100000.0,2010
somewhere (2010),focus,1800000.0,12200000.0,2010
winter's bone (2010),ratt.,6500000.0,7300000.0,2010
the last station (2010),spc,6600000.0,6900000.0,2010
raajneeti (2010),utv,1500000.0,11100000.0,2010
made in dagenham (2010),spc,1100000.0,11300000.0,2010
blue valentine (2010),wein.,9700000.0,2600000.0,2010
tamara drewe (2010),spc,560000.0,11400000.0,2010
chloe (2010),spc,3100000.0,8600000.0,2010
looking for eric (2010),ifc,55800.0,11500000.0,2010
the warrior's way (2010),rela.,5700000.0,5400000.0,2010
i am love (2010),magn.,5000000.0,5900000.0,2010
jonah hex (2010),wb,10500000.0,356000.0,2010
harry brown (2010),gold.,1800000.0,8500000.0,2010
cyrus (2010),foxs,7500000.0,2500000.0,2010
conviction (2010),foxs,6800000.0,2900000.0,2010
get low (2010),spc,9200000.0,518000.0,2010
babies (2010),focus,7300000.0,2200000.0,2010
stone (2010),over.,1800000.0,7700000.0,2010
peepli live (2010),utv,758000.0,8700000.0,2010
never let me go (2010),foxs,2400000.0,7000000.0,2010
mid-august lunch (2010),zeit.,675000.0,8700000.0,2010
macgruber (2010),uni.,8500000.0,797000.0,2010
city island (2010),anch.,6700000.0,1200000.0,2010
inside job (2010),spc,4300000.0,3600000.0,2010
the joneses (2010),ratt.,1500000.0,5500000.0,2010
centurion (2010),magn.,124000.0,6700000.0,2010
animal kingdom (2010),spc,1000000.0,5700000.0,2010
nowhere boy (2010),wein.,1500000.0,5100000.0,2010
it's kind of a funny story (2010),focus,6400000.0,128000.0,2010
"waiting for ""superman"" (2010)",parv,6400000.0,9300.0,2010
greenberg (2010),focus,4200000.0,1900000.0,2010
coco chanel & igor stravinsky (2010),spc,1600000.0,4099999.0,2010
vincere (2010),ifc,619000.0,5100000.0,2010
the illusionist (2010) (2010),spc,2200000.0,3400000.0,2010
exit through the gift shop (2010),pda,3300000.0,2000000.0,2010
mademoiselle chambon (2010),lorb.,532000.0,4700000.0,2010
solitary man (2010),anch.,4400000.0,818000.0,2010
rabbit hole (2010),lgf,2200000.0,2900000.0,2010
vision (2010),zeit.,435000.0,4600000.0,2010
mother and child (2010),spc,1100000.0,3900000.0,2010
the runaways (2010),app.,3600000.0,1100000.0,2010
four lions (2010),drft.,305000.0,4400000.0,2010
wild grass (2010),spc,404000.0,4200000.0,2010
please give (2010),spc,4000000.0,280000.0,2010
monsters (2010),magn.,237000.0,4000000.0,2010
rare exports: a christmas tale (2010),osci.,236000.0,3800000.0,2010
the killer inside me (2010),ifc,217000.0,3800000.0,2010
the perfect game (2010),iw,1000000.0,2800000.0,2010
to save a life (2010),gold.,3800000.0,45800.0,2010
inspector bellamy (2010),ifc,108000.0,3600000.0,2010
catfish (2010),rog.,3200000.0,242000.0,2010
wild target (2010),free,109000.0,3300000.0,2010
frozen (2010) (2010),anch.,246000.0,2900000.0,2010
dabangg (2010),eros,1300000.0,1700000.0,2010
kites (2010),relbig.,1600000.0,1300000.0,2010
letters to god (2010),viv.,2800000.0,60300.0,2010
twelve (2010),hann.,184000.0,2400000.0,2010
tees maar khan (2010),utv,1100000.0,1400000.0,2010
fish tank (2010),ifc,375000.0,2000000.0,2010
housefull (2010),eros,1200000.0,1200000.0,2010
golmaal 3 (2010),eros,1100000.0,935000.0,2010
after.life (2010),anch.,109000.0,1900000.0,2010
cairo time (2010),ifc,1600000.0,391000.0,2010
flipped (2010),wb,1800000.0,19400000.0,2010
guzaarish (2010),utv,1000000.0,695000.0,2010
ondine (2010),magn.,550000.0,1100000.0,2010
anjaana anjaani (2010),eros,855000.0,761000.0,2010
john rabe (2010),strand,67500.0,1400000.0,2010
restrepo (2010),nge,1300000.0,105000.0,2010
raavan (2010),relbig.,709000.0,648000.0,2010
the city of your final destination (2010),scre.,493000.0,859000.0,2010
ajami (2010),kino,622000.0,669000.0,2010
army of crime (2010),lorb.,37000.0,1200000.0,2010
lebanon (2010),spc,368000.0,830000.0,2010
howl (2010),osci.,617000.0,566000.0,2010
videocracy (2010),kino,23700.0,1200000.0,2010
when you're strange (2010),abr.,246000.0,901000.0,2010
the salvation poem (poema de salvacion) (2010),cz,915000.0,183000.0,2010
casino jack (2010),ato,1000000.0,40700.0,2010
leaving (2010),ifc,176000.0,893000.0,2010
khatta meetha (2010),eros,542000.0,499000.0,2010
we are family (2010),utv,638000.0,393000.0,2010
leaves of grass (2010),first,70100.0,949000.0,2010
north face (2010),mbox,711000.0,216000.0,2010
creation (2010),nm,341000.0,555000.0,2010
no one knows about persian cats (2010),ifc,81800.0,798000.0,2010
carlos (2010),ifc,146000.0,726000.0,2010
hideaway (le refuge) (2010),strand,34500.0,837000.0,2010
the disappearance of alice creed (2010),anch.,167000.0,701000.0,2010
break ke baad (2010),relbig.,428000.0,389000.0,2010
veer (2010) (2010),eros,527000.0,277000.0,2010
life during wartime (2010),ifc,281000.0,487000.0,2010
enter the void (2010),ifc,336000.0,418000.0,2010
the secret of kells (2010),gk,677000.0,62700.0,2010
the polar express (imax re-issue 2010) (2010),wb,673000.0,19400000.0,2010
no problem (2010),eros,285000.0,369000.0,2010
all good things (2010),magn.,582000.0,62500.0,2010
jack goes boating (2010),over.,542000.0,77600.0,2010
holy rollers (2010),find.,303000.0,305000.0,2010
chain letter (2010),nfc,139000.0,447000.0,2010
i spit on your grave (2010),anch.,93100.0,480000.0,2010
i'm still here (2010),magn.,409000.0,160000.0,2010
salt of this sea (2010),lorb.,11700.0,545000.0,2010
undertow (2010) (2010),tfc,109000.0,393000.0,2010
father of my children (2010),ifc,144000.0,335000.0,2010
the greatest (2010) (2010),pala.,115000.0,359000.0,2010
the extra man (2010),magn.,453000.0,4500.0,2010
tiny furniture (2010),ifc,392000.0,19400000.0,2010
dogtooth (2010),kino,110000.0,274000.0,2010
grease (sing-a-long re-issue) (2010),par.,366000.0,19400000.0,2010
the tempest (2010),mira.,278000.0,68700.0,2010
the good heart (2010),magn.,20900.0,323000.0,2010
formosa betrayed (2010),scre.,225000.0,101000.0,2010
red hill (2010),strand,21100.0,300000.0,2010
welcome to the rileys (2010),gold.,159000.0,158000.0,2010
"a woman, a gun and a noodle shop (2010)",spc,191000.0,121000.0,2010
the girl on the train (2010),strand,208000.0,97100.0,2010
mesrine: public enemy no. 1 (2010),mbox,275000.0,28100.0,2010
44 inch chest (2010),imag.,39000.0,255000.0,2010
karthik calling karthik (2010),eros,286000.0,7100.0,2010
last train home (2010),zeit.,288000.0,19400000.0,2010
eyes wide open (2010),nav,26300.0,250000.0,2010
waste land (2010),arth.,188000.0,88700.0,2010
south of the border (2010),cls,199000.0,70800.0,2010
human centipede (2010),ifc,181000.0,70700.0,2010
"lovely, still (2010)",mont.,128000.0,106000.0,2010
the girl (flickan) (2010),olive,2200.0,229000.0,2010
sweetgrass (2010),cgld,207000.0,19400000.0,2010
bitch slap (2010),free,17400.0,182000.0,2010
chance pe dance (2010),utv,169000.0,24300.0,2010
client 9: the rise and fall of eliot spitzer (2010),magn.,189000.0,3500.0,2010
casino jack and the united states of money (2010),magn.,177000.0,19400000.0,2010
perrier's bounty (2010),ifc,800.0,167000.0,2010
around a small mountain (2010),cgld,33200.0,131000.0,2010
spring fever (2010),strand,10800.0,150000.0,2010
the eclipse (2010),magn.,133000.0,26400.0,2010
george a. romero's survival of the dead (2010),magn.,102000.0,41500.0,2010
the romantics (2010),foak,107000.0,17300.0,2010
freakonomics (2010),magn.,101000.0,16400.0,2010
saint john of las vegas (2010),ivp,103000.0,9100.0,2010
band baaja baaraat (2010),yash,43800.0,60700.0,2010
kisses (2010),osci.,81700.0,15300.0,2010
waking sleeping beauty (2010),bv,80700.0,4200.0,2010
enemies of the people (2010),icir,73200.0,6400.0,2010
hadewijch (2010),ifc,5000.0,57500.0,2010
alamar (2010),fm,61600.0,19400000.0,2010
as good as dead (2010),first,2000.0,53600.0,2010
inhale (2010),ifc,4100.0,51000.0,2010
hatchet 2 (2010),vita.,52600.0,19400000.0,2010
district b13: ultimatum (2010),magn.,36100.0,16200.0,2010
gasland (2010),wow,30800.0,18600.0,2010
boogie woogie (2010),ifc,2600.0,44900.0,2010
come undone (2010) (2010),fm,10000.0,31300.0,2010
the red baron (2010),mont.,37200.0,3100.0,2010
bluebeard (2010),strand,33500.0,5200.0,2010
daddy longlegs (2010),ifc,21800.0,11500.0,2010
living in emergency (2010),truly,32200.0,19400000.0,2010
nenette (2010),kino,18000.0,5400.0,2010
picture me (2010),strand,12000.0,10400.0,2010
the thorn in the heart (2010),osci.,7400.0,10500.0,2010
the taqwacores (2010),strand,11400.0,19400000.0,2010
cherry (2010),abr.,11400.0,19400000.0,2010
terkel in trouble (2010),indic.,10800.0,19400000.0,2010
kimjongilia (2010),lorb.,4400.0,19400000.0,2010
harry potter and the deathly hallows part 2 (2011),wb,381000000.0,960500000.0,2011
transformers: dark of the moon (2011),p/dw,352400000.0,771400000.0,2011
pirates of the caribbean: on stranger tides (2011),bv,241100000.0,804600000.0,2011
the twilight saga: breaking dawn part 1 (2011),sum.,281300000.0,430900000.0,2011
mission: impossible - ghost protocol (2011),par.,209400000.0,485300000.0,2011
kung fu panda 2 (2011),p/dw,165200000.0,500400000.0,2011
fast five (2011),uni.,209800000.0,416300000.0,2011
the hangover part ii (2011),wb,254500000.0,332300000.0,2011
the smurfs (2011),sony,142600000.0,421100000.0,2011
cars 2 (2011),bv,191500000.0,370700000.0,2011
puss in boots (2011),p/dw,149300000.0,405700000.0,2011
sherlock holmes: a game of shadows (2011),wb,186800000.0,358600000.0,2011
rio (2011),fox,143600000.0,341000000.0,2011
rise of the planet of the apes (2011),fox,176800000.0,305000000.0,2011
thor (2011),par.,181000000.0,268300000.0,2011
the adventures of tintin (2011),par.,77600000.0,296400000.0,2011
captain america: the first avenger (2011),par.,176700000.0,193900000.0,2011
x-men: first class (2011),fox,146400000.0,207200000.0,2011
alvin and the chipmunks: chipwrecked (2011),fox,133100000.0,209600000.0,2011
real steel (2011),bv,85500000.0,213800000.0,2011
bridesmaids (2011),uni.,169100000.0,119300000.0,2011
super 8 (2011),par.,127000000.0,133100000.0,2011
rango (2011),par.,123500000.0,122200000.0,2011
